id_set_1	id_set_2	dummy_field	name_set_1	name_set_2
73267	21001	dummy_value	tangerine_20064397.html	down+down+down_20138948.html
49097	3343	dummy_value	lost+in+the+harbor_20245574.html	all+stripped+down_20138804.html
10302	3496	dummy_value	bonzos+montreux_20158767.html	all+the+world+is+green_20239010.html
52606	47129	dummy_value	midsummer+morning_20075473.html	lie+to+me_20679070.html
74688	34429	dummy_value	the+crunge_20082012.html	hots+on+for+nowhere_20082000.html
38246	19231	dummy_value	i+wish_20337973.html	disappear_10090142.html
43086	9453	dummy_value	jerusalem_20143622.html	blakes+jerusalem_20018236.html
61009	61008	dummy_value	pirate+jenny_20100640.html	pirate+jenny_20088554.html
62848	31945	dummy_value	ramble+on_20082096.html	heartbreaker_20965226.html
11492	10455	dummy_value	bruce+springsteen+born+in+the+usa_20648975.html	born+in+the+u+s+a_20024969.html
40458	25101	dummy_value	in+darkness+let+me+dwell_20535323.html	fire+and+rain_20586062.html
40869	21941	dummy_value	in+this+life_20086850.html	earth+died+screaming_20138807.html
40767	6542	dummy_value	in+the+mood_20030045.html	back+in+business_20086873.html
46472	46469	dummy_value	let+it+be_20246201.html	let+it+be_20073713.html
46472	46467	dummy_value	let+it+be_20246201.html	let+it+be_10026524.html
40360	6277	dummy_value	immigrant+song_20101096.html	baby+gonna+leave+me_20463915.html
42353	25101	dummy_value	its+only+love_20025526.html	fire+and+rain_20586062.html
23745	3496	dummy_value	express+yourself_20086887.html	all+the+world+is+green_20239010.html
33271	21583	dummy_value	higher+ground_20114860.html	driver+8_20065911.html
20238	20236	dummy_value	dont+give+up_20184873.html	dont+give+up_20184862.html
80905	11863	dummy_value	victim+of+love_20044554.html	busy+being+fabulous_20659156.html
82309	70581	dummy_value	were+gonna+win_20025445.html	stairway+to+heaven_20328938.html
30736	30733	dummy_value	handle+with+care_20216410.html	handle+me+with+care_20631800.html
53964	34778	dummy_value	mr+bad+guy_10237123.html	how+many+more+times_20081912.html
82309	13155	dummy_value	were+gonna+win_20025445.html	carouselambra_20081890.html
72025	38246	dummy_value	summer+of+69_20025490.html	i+wish_20337973.html
20370	20369	dummy_value	dont+let+it+show_20104744.html	dont+let+it+show_20005343.html
59500	3496	dummy_value	out+of+control_20044422.html	all+the+world+is+green_20239010.html
85743	30944	dummy_value	youll+never+walk+alone_10010893.html	happy+heart_20217839.html
31451	31436	dummy_value	have+yourself+a+merry+little+christmas_20620824.html	have+yourself+a+merry+little+christmas_20077734.html
38658	33769	dummy_value	if+i+have+to+go_20684055.html	hole+in+the+world_10092877.html
62849	41117	dummy_value	ramble+on_20306756.html	inside+of+me_20086838.html
69979	43332	dummy_value	sos_10003042.html	jockey+full+of+bourbon_20138924.html
74319	60305	dummy_value	the+best+of+me_20025564.html	passive+manipulation_10187180.html
65941	43064	dummy_value	scared+of+the+moon_20486416.html	jeremy_20075467.html
21583	16861	dummy_value	driver+8_20065911.html	cry+baby_20086874.html
16861	4560	dummy_value	cry+baby_20086874.html	angel_20086921.html
13987	146	dummy_value	cherish_20086885.html	16+shells+from+a+thirty+ought+six_20138946.html
33450	17362	dummy_value	history_20620339.html	dance+2night_20740415.html
78905	23512	dummy_value	tonight_20025644.html	everything+you+can+think_20336531.html
62612	62611	dummy_value	rabbit+in+your+headlights_20301721.html	rabbit+in+your+headlights_20142198.html
31451	31428	dummy_value	have+yourself+a+merry+little+christmas_20620824.html	have+yourself+a+merry+little+christmas_10163491.html
31451	31425	dummy_value	have+yourself+a+merry+little+christmas_20620824.html	have+yourself+a+merry+christmas_21052123.html
27737	17170	dummy_value	get+together_20536857.html	cyberraga_20086941.html
56581	15563	dummy_value	no+quarter_20082170.html	come+to+the+sunshine_20075457.html
42436	42435	dummy_value	its+the+most+wonderful+time+of+the+year_20771467.html	its+the+most+wonderful+time+of+the+year_20766934.html
81434	21103	dummy_value	walk+this+way_20004224.html	down+there+by+the+train_20191745.html
56849	40953	dummy_value	nobodys+perfect_20086947.html	incredible_20740241.html
81434	3168	dummy_value	walk+this+way_20004224.html	all+my+love_20082142.html
17362	10496	dummy_value	dance+2night_20740415.html	born+to+boogie_20160259.html
16664	3496	dummy_value	crimes+of+passion_20086904.html	all+the+world+is+green_20239010.html
31451	31450	dummy_value	have+yourself+a+merry+little+christmas_20620824.html	have+yourself+a+merry+little+christmas_20529227.html
53727	1911	dummy_value	mother+father_20086829.html	achilles+last+stand_20081878.html
59347	15102	dummy_value	orestes_20502682.html	cold+cold+ground_20138774.html
69838	1911	dummy_value	song+for+you+far+away_20069303.html	achilles+last+stand_20081878.html
35862	18944	dummy_value	i+didnt+know+what+time+it+was_20180744.html	didnt+know+what+time+it+was_20180743.html
47129	34521	dummy_value	lie+to+me_20679070.html	house+where+nobody+lives_20138875.html
33271	1911	dummy_value	higher+ground_20114860.html	achilles+last+stand_20081878.html
46472	46458	dummy_value	let+it+be_20246201.html	let+it+be+live_20622749.html
46472	46457	dummy_value	let+it+be_20246201.html	let+it+be+live_20614587.html
61434	5613	dummy_value	pony_20138878.html	as+ugly+as+i+seem_10187182.html
59447	21941	dummy_value	our+love+is+here+to+stay_20098078.html	earth+died+screaming_20138807.html
80639	80638	dummy_value	uptown+girl_20072915.html	uptown+girl_10186888.html
68988	20647	dummy_value	so+lonely_10225123.html	dont+stop_20086834.html
